curva,beta_hidden,beta_output,acc_mean,acc_sem,tiempo_seg
no_lineal,192.26102269488152,484.4674191351938,0.8360833333333333,0.020203923344700118,319.8
no_lineal,192.26102269488152,769.0440907795263,0.7348500000000001,0.012569805089976547,325.0
no_lineal,192.26102269488152,1220.7813987133468,0.6977166666666667,0.006025608928810651,328.5
no_lineal,192.26102269488152,1937.8696765407756,0.7147333333333333,0.015966324515007152,325.2
no_lineal,192.26102269488152,3076.176363118102,0.6612,0.01888651782504007,325.5
no_lineal,305.19534967833664,48.065255673720344,0.9192666666666667,0.001673541377062646,311.4
no_lineal,305.19534967833664,76.29883741958413,0.9132166666666666,0.004642157863497277,314.1
no_lineal,305.19534967833664,121.11685478379853,0.9125333333333333,0.010434779807433878,315.2
no_lineal,305.19534967833664,192.26102269488152,0.8985333333333333,0.006200552544076346,316.5
no_lineal,305.19534967833664,305.19534967833664,0.8493166666666667,0.017188341225204764,318.6
no_lineal,305.19534967833664,484.4674191351938,0.7448,0.010701583475770745,324.0
no_lineal,305.19534967833664,769.0440907795263,0.6986333333333334,0.007591893825117141,324.8
no_lineal,305.19534967833664,1220.7813987133468,0.7156833333333333,0.014607120283031953,325.6
no_lineal,305.19534967833664,1937.8696765407756,0.6960166666666666,0.02759694360425258,325.2
no_lineal,305.19534967833664,3076.176363118102,0.5931333333333333,0.028535604790169443,325.7
no_lineal,484.4674191351938,48.065255673720344,0.9137166666666666,0.004749814811204828,314.0
no_lineal,484.4674191351938,76.29883741958413,0.9249166666666667,0.0021947327518064305,316.0
no_lineal,484.4674191351938,121.11685478379853,0.88695,0.012500288885550706,318.1
no_lineal,484.4674191351938,192.26102269488152,0.8457166666666666,0.016311555776560745,319.5
no_lineal,484.4674191351938,305.19534967833664,0.7403833333333334,0.010983430281143519,323.9
no_lineal,484.4674191351938,484.4674191351938,0.69895,0.0037798442060781147,325.3
no_lineal,484.4674191351938,769.0440907795263,0.7165666666666667,0.013281322167559926,325.9
no_lineal,484.4674191351938,1220.7813987133468,0.6661666666666667,0.010937863221482144,326.5
no_lineal,484.4674191351938,1937.8696765407756,0.6142,0.04575759196267023,326.4
no_lineal,484.4674191351938,3076.176363118102,0.6948,0.015860975870215403,326.2
no_lineal,769.0440907795263,48.065255673720344,0.9133166666666667,0.010647804503311509,316.3
no_lineal,769.0440907795263,76.29883741958413,0.89575,0.00987052289507615,317.1
no_lineal,769.0440907795263,121.11685478379853,0.8360833333333333,0.020203923344700118,318.8
no_lineal,769.0440907795263,192.26102269488152,0.7348500000000001,0.012569805089976547,323.7
no_lineal,769.0440907795263,305.19534967833664,0.6977166666666667,0.006025608928810651,325.1
no_lineal,769.0440907795263,484.4674191351938,0.7147333333333333,0.015966324515007152,325.3
no_lineal,769.0440907795263,769.0440907795263,0.6612,0.01888651782504007,326.0
no_lineal,769.0440907795263,1220.7813987133468,0.6162333333333333,0.042231862203615717,325.9
no_lineal,769.0440907795263,1937.8696765407756,0.7127500000000001,0.008063945822128417,324.9
no_lineal,769.0440907795263,3076.176363118102,0.6843166666666667,0.04150749820703972,324.6
no_lineal,1220.7813987133468,48.065255673720344,0.8985333333333333,0.006200552544076346,317.4
no_lineal,1220.7813987133468,76.29883741958413,0.8493166666666667,0.017188341225204764,320.2
no_lineal,1220.7813987133468,121.11685478379853,0.7448,0.010701583475770745,324.0
no_lineal,1220.7813987133468,192.26102269488152,0.6986333333333334,0.007591893825117141,325.1
no_lineal,1220.7813987133468,305.19534967833664,0.7156833333333333,0.014607120283031953,325.1
no_lineal,1220.7813987133468,484.4674191351938,0.6960166666666666,0.02759694360425258,325.6
no_lineal,1220.7813987133468,769.0440907795263,0.5931333333333333,0.028535604790169443,325.7
no_lineal,1220.7813987133468,1220.7813987133468,0.6512333333333333,0.03017247028274224,325.6
no_lineal,1220.7813987133468,1937.8696765407756,0.6594333333333333,0.03767991163392958,325.6
no_lineal,1220.7813987133468,3076.176363118102,0.63105,0.006335131323728733,325.6
no_lineal,1937.8696765407756,48.065255673720344,0.8457166666666666,0.016311555776560745,318.9
no_lineal,1937.8696765407756,76.29883741958413,0.7403833333333334,0.010983430281143519,323.1
no_lineal,1937.8696765407756,121.11685478379853,0.69895,0.0037798442060781147,323.6
no_lineal,1937.8696765407756,192.26102269488152,0.7165666666666667,0.013281322167559926,324.5
no_lineal,1937.8696765407756,305.19534967833664,0.6661666666666667,0.010937863221482144,325.9
no_lineal,1937.8696765407756,484.4674191351938,0.6142,0.04575759196267023,325.1
no_lineal,1937.8696765407756,769.0440907795263,0.6990166666666667,0.007453050581001241,324.1
no_lineal,1937.8696765407756,1220.7813987133468,0.7134833333333334,0.012416260246890706,325.7
no_lineal,1937.8696765407756,1937.8696765407756,0.6661166666666668,0.05934788835208756,325.4
no_lineal,1937.8696765407756,3076.176363118102,0.6531833333333333,0.015468971332123986,324.4
no_lineal,3076.176363118102,48.065255673720344,0.7348500000000001,0.012569805089976547,323.6
