curva,beta_hidden,beta_output,acc_mean,acc_sem,tiempo_seg
no_lineal,305.19534967833664,192.26102269488152,0.9168166666666666,0.004052456959352856,313.2
no_lineal,305.19534967833664,305.19534967833664,0.9054166666666666,0.010698243192571734,314.9
no_lineal,305.19534967833664,484.4674191351938,0.91755,0.005187966846463068,315.5
no_lineal,305.19534967833664,769.0440907795263,0.8828333333333332,0.01497327866814994,316.1
no_lineal,305.19534967833664,1220.7813987133468,0.8920666666666666,0.014909212911137507,318.5
no_lineal,305.19534967833664,1937.8696765407756,0.8597333333333333,0.020163227438600734,318.8
no_lineal,305.19534967833664,3076.176363118102,0.80595,0.02823883260098877,319.7
no_lineal,484.4674191351938,48.065255673720344,0.9047499999999999,0.0024063573208390255,306.7
no_lineal,484.4674191351938,76.29883741958413,0.9143666666666667,0.00286369354867813,309.3
no_lineal,484.4674191351938,121.11685478379853,0.9201833333333332,0.005840773033565797,312.5
no_lineal,484.4674191351938,192.26102269488152,0.92225,0.006797589442017091,314.4
no_lineal,484.4674191351938,305.19534967833664,0.9141666666666667,0.004403554961198557,314.7
no_lineal,484.4674191351938,484.4674191351938,0.8927833333333334,0.010681040662296424,316.7
no_lineal,484.4674191351938,769.0440907795263,0.9116666666666666,0.011662888277050525,317.5
no_lineal,484.4674191351938,1220.7813987133468,0.8735166666666666,0.0019734816010365114,319.3
no_lineal,484.4674191351938,1937.8696765407756,0.8861,0.013901458756387956,319.0
no_lineal,769.0440907795263,48.065255673720344,0.9001833333333332,0.0013553050770405434,307.4
no_lineal,484.4674191351938,3076.176363118102,0.8323166666666667,0.02184903167614494,320.8
no_lineal,769.0440907795263,76.29883741958413,0.9152166666666667,0.001999490675887986,311.0
no_lineal,769.0440907795263,121.11685478379853,0.91865,0.008118121019601066,313.9
no_lineal,769.0440907795263,192.26102269488152,0.9023500000000001,0.007188300680040217,314.4
no_lineal,769.0440907795263,305.19534967833664,0.9138999999999999,0.0157533065312228,315.5
no_lineal,769.0440907795263,484.4674191351938,0.8882333333333333,0.008269399189963148,316.6
no_lineal,769.0440907795263,769.0440907795263,0.8749833333333333,0.01959906932786652,316.2
no_lineal,769.0440907795263,1220.7813987133468,0.9158166666666667,0.0038622340493361914,317.7
no_lineal,1220.7813987133468,48.065255673720344,0.8977166666666667,0.000649073413641559,306.3
no_lineal,769.0440907795263,1937.8696765407756,0.8490333333333333,0.0163979730002985,318.0
no_lineal,769.0440907795263,3076.176363118102,0.8457500000000001,0.022929687210155234,319.9
no_lineal,1220.7813987133468,76.29883741958413,0.9117000000000001,0.00326402954779653,311.0
no_lineal,1220.7813987133468,121.11685478379853,0.9068499999999999,0.008967812813984618,313.3
no_lineal,1220.7813987133468,192.26102269488152,0.9302833333333332,0.0007387426755919402,314.1
no_lineal,1220.7813987133468,305.19534967833664,0.9160499999999999,0.004403849326315445,315.7
no_lineal,1220.7813987133468,484.4674191351938,0.9121833333333335,0.012984698972537151,316.1
no_lineal,1220.7813987133468,769.0440907795263,0.8684166666666666,0.02158073128888274,317.1
no_lineal,1220.7813987133468,1220.7813987133468,0.8458166666666666,0.015783154404711456,317.4
no_lineal,1937.8696765407756,48.065255673720344,0.8853166666666666,0.004201344581951883,307.0
no_lineal,1220.7813987133468,1937.8696765407756,0.8489666666666666,0.04290056548017194,318.5
no_lineal,1220.7813987133468,3076.176363118102,0.8328000000000001,0.02596440940124684,319.6
no_lineal,1937.8696765407756,76.29883741958413,0.8837999999999999,0.0008436033823229336,310.7
no_lineal,1937.8696765407756,121.11685478379853,0.9198000000000001,0.003347221069617135,312.6
no_lineal,1937.8696765407756,192.26102269488152,0.9178000000000001,0.001991230775173986,312.8
no_lineal,1937.8696765407756,305.19534967833664,0.9086500000000001,0.008400826678898264,314.3
no_lineal,1937.8696765407756,484.4674191351938,0.9045666666666667,0.01142865145474627,315.6
no_lineal,1937.8696765407756,769.0440907795263,0.8958333333333334,0.010632897936052908,316.0
no_lineal,1937.8696765407756,1220.7813987133468,0.84545,0.01804486692170997,316.0
no_lineal,3076.176363118102,48.065255673720344,0.8774000000000001,0.004800231475900097,308.2
no_lineal,1937.8696765407756,1937.8696765407756,0.8236833333333333,0.03348831747650825,317.7
no_lineal,1937.8696765407756,3076.176363118102,0.8346,0.010656244908763863,317.4
no_lineal,3076.176363118102,76.29883741958413,0.8957499999999999,0.001419506956657842,309.9
no_lineal,3076.176363118102,121.11685478379853,0.8829833333333333,0.00918502202662735,304.8
no_lineal,3076.176363118102,192.26102269488152,0.90155,0.007388767751722128,298.4
no_lineal,3076.176363118102,305.19534967833664,0.9076333333333334,0.010496277999931785,293.6
no_lineal,3076.176363118102,484.4674191351938,0.9065666666666669,0.003889182528596556,287.7
no_lineal,3076.176363118102,769.0440907795263,0.8883166666666668,0.004707047513707119,284.6
no_lineal,3076.176363118102,1220.7813987133468,0.8715333333333334,0.016610945744253067,280.3
no_lineal,3076.176363118102,1937.8696765407756,0.8712666666666667,0.0106862407206997,279.4
no_lineal,3076.176363118102,3076.176363118102,0.8163499999999999,0.027551053619699468,277.2
